Ingredient ID,Ingredient,measurement,package size,price,double_observation,responsible,,,Conversion Table,,
InID111,crown royal,ml,750,11.69,,Harro,,,,,
InID112,cumin seed,g,37,2.09,,Harro,,,,,
InID113,curacao,ml,500,8.95,,Harro,,,,,
InID114,daiquiri mix,ml,700,12.19,,Harro,,,,,
InID115,dark creme de cacao,ml,700,11.95,,Harro,,,,,
InID116,dark rum,ml,700,16.99,,Harro,,,,,
InID117,demerara sugar,g,200,2.51,,Harro,,,,,
InID118,dr. pepper,ml,330,0.61,,Harro,,,,,
InID119,drambuie,ml,700,24.99,,Harro,,,,,
InID120,dry vermouth,ml,750,6.29,,Harro,,,,,
InID121,dubonnet rouge,ml,750,8.95,,Harro,,,,,
InID122,egg,piece,10,1.63,,Harro,,,,,
InID123,egg white,piece,10,1.63,,Harro,,,,,
InID124,egg yolk,piece,10,1.63,,Harro,,,,,
InID125,erin cream,ml,700,13.99,,Harro,,,,,
InID126,espresso,g,500,6.57,,Harro,,,,,
InID127,everclear,ml,750,18.99,grain alcohol,Harro,,,,,
InID128,fennel seeds,piece,1,0.89,,Harro,,,,,
InID129,firewater,ml,500,11.99,,Harro,,,,,
InID130,food coloring,g,45,2.31,,Harro,,,,,
InID131,frangelico,ml,700,13.95,,Harro,,,,,
InID132,fresca,ml,330,1.75,,Harro,,,,,
InID133,fresh lemon juice,ml,500,1.5,lemon juice,Harro,,,,,
InID134,fresh lime juice,ml,125,0.92,lime juice,Harro,,,,,
InID135,fruit,piece,1,2,,Harro,,,,,
InID136,fruit juice,ml,1000,1.79,,Harro,,,,,
InID137,fruit punch,ml,1000,1.79,fruit juice,Harro,,,,,
InID138,galliano,ml,500,11.95,,Harro,,,,,
InID139,gin,ml,700,18.95,,Harro,,,,,
InID140,ginger,g,150,1.99,,Harro,,,,,
InID141,ginger ale,ml,1000,1.59,,Harro,,,,,
InID142,ginger beer,ml,330,0.72,,Harro,,,,,
InID143,glycerine,ml,150,5.19,,Harro,,,,,
InID144,godiva liqueur,ml,750,29.97,,Harro,,,,,
InID145,gold tequila,ml,1000,19.99,,Harro,,,,,
InID146,goldschlager,ml,500,11.99,,Harro,,,,,
InID147,grain alcohol,ml,750,18.99,,Harro,,,,,
InID148,grand marnier,ml,375,8.5,,Harro,,,,,
InID149,grape juice,ml,1000,1.41,,Harro,,,,,
InID150,grape soda,ml,750,1.99,,Harro,,,,,
InID151,grapefruit juice,ml,1000,1.59,,Harro,,,,,
InID152,grapes,g,500,2.21,,Harro,,,,,
InID153,green chartreuse,ml,700,29.5,,Harro,,,,,
InID154,green creme de menthe,ml,700,11.5,,Harro,,,,,
InID155,grenadine,ml,750,1.99,,Harro,,,,,
InID156,guava juice,ml,330,1.02,,Harro,,,,,
InID157,guinness stout,ml,500,2.05,,Harro,,,,,
InID158,half-and-half,ml,1000,1,,Zanis,,,,,
InID159,heavy cream,ml,250,1.39,cream,Zanis,,,,,
InID160,honey,g,500,3,,Zanis,,,,,
InID161,hot chocolate,g,250,5,,Zanis,,,,,
InID162,hot damn,ml,100,3,,Zanis,,,,,
InID163,ice,g,1000,2,,Zanis,,,,,
InID164,iced tea,ml,2000,2,,Zanis,,,,,
InID165,irish cream,ml,700,10,,Zanis,,,,,
InID166,irish whiskey,ml,1000,18.99,whisky,Zanis,,,,,
